id,name,review_count,categories1,categories2,categories3,rating,price,address1,address2,address3,city,zip_code,latitude,longitude,nlp_avg_score,cluster5
0odtQty6tMRPQ7UrNysUxw,Wen Gee House,13,chinese,,,3.5,$,287 Van Brunt St,,,New York,11231,40.678898,-74.010712,0.30256717692307694,3
DE0ROwygh-86i4s-WLp8wQ,Maman,774,cafes,bakeries,breakfast_brunch,4.0,$$,239 Centre St,,,New York,10013,40.72028,-73.9984,0.51930886,2
hhXZ6bgJ8EkWlp8AGZwtcQ,Cafe Mars,25,italian,,,4.5,,272 3rd Ave,,,Brooklyn,11215,40.6778851,-73.98592283,0.710698585,3
JRQBzjWWijnJAb0SLqHaxQ,Khaosan Thai Nyc,44,thai,,,4.5,,128 Montague St,,,Brooklyn,11201,40.694537,-73.994241,0.71009201,3
RfFXF-Momn0tLIgh1TZKLw,Di Fara Pizza,60,pizza,,,4.0,,108 South St,,,New York,10038,40.70689409,-74.00184965,0.3050596,3
8Y5Ytn30Wup9sNf2n99s1A,NOMO Kitchen,759,newamerican,mediterranean,breakfast_brunch,3.5,$$,9 Crosby St,,NOMO SOHO Hotel,New York,10013,40.7198301,-74.0000708,0.380484135,2
ADSa2wvsmHeU4a2g5a6tQQ,Vekslers,126,newamerican,,,4.0,$$,521 Hicks St,,,Brooklyn,11231,40.68533,-74.0005,0.452443445,3
feY7PgoRjCp2qReaIitRkQ,Boran,269,thai,,,4.5,$$,462 Court St,,,Brooklyn,11231,40.6782327,-73.998062,0.7984370199999999,3
rU9cKxAVU4Gd_JhAqp_bTA,Buttermilk Channel,2038,newamerican,breakfast_brunch,,4.0,$$,524 Court St,,,Brooklyn,11231,40.675919,-73.999059,0.58158007,2
3g9SHbgTEyBgSH5ciWZPFQ,Oma Grassa,25,pizza,,,4.5,,753 Fulton St,,,Brooklyn,11217,40.68655,-73.97468,0.505588895,3
AR_0QV4O12sHojkky_IMkg,Canal Street Market,219,food_court,,,4.0,$$,265 Canal St,,,New York,10013,40.71897,-74.00102,0.53365454,3
GBJOu9Rk4JqqWjB8ddYudw,La Mercerie,364,french,cocktailbars,breakfast_brunch,3.5,$$$,53 Howard St,,,New York,10013,40.72022367,-74.00219094,0.509237385,3
OkiPb6gNNRmcbB4zIIMx0g,Big Tiny,82,wine_bars,french,tapasmallplates,4.5,$$,244 Smith St,,,Brooklyn,11231,40.6834507,-73.992855,0.75732029,3
guLhJRVpZAYrkSbFuyb5_Q,honeygrow,217,salad,vegetarian,noodles,3.5,$$,194 Joralemon St,,,Brooklyn,11201,40.69249497,-73.99139982,0.21502062,3
q202UCgXiL2H53LsHeDsQA,CUT New York,220,steak,breakfast_brunch,,4.0,$$$$,99 Church St,,,New York,10007,40.712808,-74.009065,0.454712535,3
JeUUdGHr_1O1zm644pUu3w,Mimi Cheng's,14,taiwanese,,,4.0,,224 Atlantic Ave,,,Brooklyn,11201,40.68934,-73.99178,0.4233808866666667,3
qs5x7OfTtpgQ4xQeN7N4Iw,Saraghina Caffè,60,italian,cocktailbars,,3.0,,"195 DeKalb Ave, Brooklyn, NY 11205",,,Brooklyn,11205,40.6897188,-73.9719095,0.211954605,5
Jp27mwe6YhnVUmdgeAm9Mw,Union Street Cafe,27,diners,,,4.0,$$,568 Union St,Ste A,,Brooklyn,11215,40.67817,-73.9853,0.678106235,3
xvBBbjO-U_SyTgMvwW0lkg,Nûrish,31,vegan,,,5.0,,346 Communipaw Ave,,,Jersey City,7304,40.71121,-74.06216,0.6972016400000001,3
0wbKQ4HoA1_JybcB9ayOKA,Ampia Restaurant & Rooftop,268,italian,,,3.0,,100 Broad St,Fl 2,Entrance On Bridge Street,New York,10004,40.70345,-74.01213,0.46889231000000003,5
H-6xYovzB8AKZb14bmYnWg,Bistro La Source,381,french,newamerican,,3.5,$$,85 Morris St,,,Jersey City,7302,40.71371741,-74.0376459,0.33378085999999996,3
kMQ0IXs5mdjDeUvpWSHgRg,Il Mulino New York - Tribeca,55,italian,desserts,bars,4.0,$$$,361 Greenwich St,,,New York,10013,40.71904,-74.01016,0.500061725,3
r7x6Ov3WaCLqrl9pCxJh2A,Short Grain,392,coffee,breakfast_brunch,sandwiches,4.0,$$,183 Montgomery St,,,Jersey City,7302,40.717208,-74.042961,0.19660486500000002,3
0U9uW93o9DUnAP7r-76LVg,Haenyeo,244,korean,cocktailbars,,4.0,$$$,239 5th Ave,,,Brooklyn,11215,40.67519,-73.98116,0.63711082,3
aJJlY5xvqS180wtRIHEWqA,Cotenna,472,italian,,,4.0,$$,21 Bedford St,,,New York,10014,40.72903,-74.00357,0.19789965999999998,3
1dvJm3EZLh9iejUbNmTbLQ,Syko,39,syrian,korean,,4.5,,228 Prospect Park W,,,Brooklyn,11215,40.65981095,-73.98114131,0.457871375,3
Xak3sB5LkJgjgYYf6_hQLA,Casa Taqueria,100,mexican,,,3.5,,40 Gold St,,,New York,10038,40.70875,-74.00583,0.15156361499999998,3
ahYpXiMz9YGTQtqzMW1gmQ,Burger Village,52,burgers,,,4.0,,120 Church St,,,New York,10007,40.71371,-74.00911,0.5553660149999999,3
zupIzmhdcH0U6vJQQxDBiQ,Bar Bruno,313,newamerican,mexican,bars,4.0,$$,520 Henry St,,,Brooklyn,11231,40.6833674,-73.9997959,0.46233456500000003,3
HV5DMBmEpQ_Nu6NSekJquA,Harry's Italian,280,pizza,italian,breakfast_brunch,3.5,$$,225 Murray St,,,New York,10282,40.71537629,-74.01398363,0.42283861,3
Lp8vAE5nHSt5zbu-lSGK8A,Hop Lee Restaurant,378,chinese,seafood,noodles,4.0,$$,16 Mott St,,,New York,10013,40.71422,-73.99864,0.6369290000000001,3
4zBGXDXg9DzK0IROwCUeFg,Cowgirl Seahorse,673,tex-mex,seafood,southern,3.5,$$,259 Front St,,,New York,10038,40.70820207,-74.00046681,0.342519705,2
CqtT8rPaSmrRClUBbqsCFA,Seamore’s Dumbo,207,seafood,cocktailbars,breakfast_brunch,4.0,$$,66 Water St,,,Brooklyn,11201,40.703086,-73.991307,0.8453590099999999,3
F37Gp6exe2v8yuzr_gy5BQ,Libertador Steakhouse - Brooklyn,301,argentine,newamerican,,4.0,$$,404 Henry St,,,Brooklyn,11201,40.68733913,-73.99817533,0.620357405,3
hO1T1fG5f5FbvOP2124rpw,Negril BK,844,caribbean,cocktailbars,,4.0,$$$,256 5th Ave,,,Brooklyn,11215,40.67501,-73.98163,0.666917785,2
Dsgb9AZAJDPBIAabOAcACA,Court Street Grocers Hero Shop,52,sandwiches,,,4.5,$$,116 Sullivan St,,,Brooklyn,11231,40.6785889,-74.0129471,0.442545965,3
UQuV1hiPRPqPT2qBcLrQqA,Flipper’s,942,pancakes,,,4.0,$$,337 W Broadway,,,New York,10013,40.72242,-74.00357,0.29056753,2
